Classement des circonscriptions,H/F EM,NB f EM,Prop F EM,H/F LFI,NB f LFI,Prop F LFI,H/F LR,NB f LR,Prop F LR,H/F FN,NB f FN,Prop F FN,H/F PS,NB f PS,Prop F PS
1,H,0.0,0.0,H,0,0.0,H,0.0,0.0,H,0.0,0.0,F,1.0,1.0
2,H,0.0,0.0,H,0,0.0,F,1.0,0.5,H,0.0,0.0,F,2.0,1.0
3,H,0.0,0.0,H,0,0.0,H,1.0,0.3333333333333333,H,0.0,0.0,H,2.0,0.6666666666666666
4,H,0.0,0.0,H,0,0.0,H,1.0,0.25,H,0.0,0.0,F,3.0,0.75
5,H,0.0,0.0,H,0,0.0,H,1.0,0.2,H,0.0,0.0,F,4.0,0.8
6,F,1.0,0.16666666666666666,H,0,0.0,H,1.0,0.16666666666666666,H,0.0,0.0,F,5.0,0.8333333333333334
7,H,1.0,0.14285714285714285,H,0,0.0,F,2.0,0.2857142857142857,H,0.0,0.0,H,5.0,0.7142857142857143
8,F,2.0,0.25,F,1,0.125,H,2.0,0.25,F,1.0,0.125,H,5.0,0.625
9,H,2.0,0.2222222222222222,H,1,0.1111111111111111,H,2.0,0.2222222222222222,H,1.0,0.1111111111111111,H,5.0,0.5555555555555556
10,F,3.0,0.3,F,2,0.2,H,2.0,0.2,F,2.0,0.2,H,5.0,0.5
11,H,3.0,0.2727272727272727,F,3,0.2727272727272727,H,2.0,0.18181818181818182,H,2.0,0.18181818181818182,H,5.0,0.45454545454545453
12,H,3.0,0.25,F,4,0.3333333333333333,H,2.0,0.16666666666666666,H,2.0,0.16666666666666666,F,6.0,0.5
13,F,4.0,0.3076923076923077,F,5,0.38461538461538464,H,2.0,0.15384615384615385,F,3.0,0.23076923076923078,H,6.0,0.46153846153846156
14,H,4.0,0.2857142857142857,F,6,0.42857142857142855,H,2.0,0.14285714285714285,H,3.0,0.21428571428571427,F,7.0,0.5
15,H,4.0,0.26666666666666666,H,6,0.4,H,2.0,0.13333333333333333,H,3.0,0.2,F,8.0,0.5333333333333333
16,F,5.0,0.3125,F,7,0.4375,H,2.0,0.125,F,4.0,0.25,H,8.0,0.5
17,F,6.0,0.35294117647058826,H,7,0.4117647058823529,H,2.0,0.11764705882352941,H,4.0,0.23529411764705882,F,9.0,0.5294117647058824
18,F,7.0,0.3888888888888889,F,8,0.4444444444444444,H,2.0,0.1111111111111111,F,5.0,0.2777777777777778,H,9.0,0.5
19,F,8.0,0.42105263157894735,H,8,0.42105263157894735,H,2.0,0.10526315789473684,H,5.0,0.2631578947368421,F,10.0,0.5263157894736842
20,H,8.0,0.4,F,9,0.45,H,2.0,0.1,F,6.0,0.3,H,10.0,0.5
21,F,9.0,0.42857142857142855,H,9,0.42857142857142855,H,2.0,0.09523809523809523,F,7.0,0.3333333333333333,F,11.0,0.5238095238095238
22,H,9.0,0.4090909090909091,H,9,0.4090909090909091,H,2.0,0.09090909090909091,H,7.0,0.3181818181818182,F,12.0,0.5454545454545454
23,H,9.0,0.391304347826087,H,9,0.391304347826087,F,3.0,0.13043478260869565,H,7.0,0.30434782608695654,H,12.0,0.5217391304347826
24,F,10.0,0.4166666666666667,H,9,0.375,H,3.0,0.125,F,8.0,0.3333333333333333,H,12.0,0.5
25,H,10.0,0.4,F,10,0.4,H,3.0,0.12,H,8.0,0.32,F,13.0,0.52
26,H,10.0,0.38461538461538464,H,10,0.38461538461538464,H,3.0,0.11538461538461539,F,9.0,0.34615384615384615,F,14.0,0.5384615384615384
27,F,11.0,0.4074074074074074,H,10,0.37037037037037035,F,4.0,0.14814814814814814,F,10.0,0.37037037037037035,F,15.0,0.5555555555555556
28,H,11.0,0.39285714285714285,F,11,0.39285714285714285,H,4.0,0.14285714285714285,H,10.0,0.35714285714285715,F,16.0,0.5714285714285714
29,H,11.0,0.3793103448275862,H,11,0.3793103448275862,H,4.0,0.13793103448275862,H,10.0,0.3448275862068966,H,16.0,0.5517241379310345
30,H,11.0,0.36666666666666664,H,11,0.36666666666666664,H,4.0,0.13333333333333333,H,10.0,0.3333333333333333,H,16.0,0.5333333333333333
31,H,11.0,0.3548387096774194,F,12,0.3870967741935484,F,5.0,0.16129032258064516,H,10.0,0.3225806451612903,H,16.0,0.5161290322580645
32,H,11.0,0.34375,F,13,0.40625,F,6.0,0.1875,F,11.0,0.34375,F,17.0,0.53125
33,F,12.0,0.36363636363636365,H,13,0.3939393939393939,H,6.0,0.18181818181818182,H,11.0,0.3333333333333333,H,17.0,0.5151515151515151
34,H,12.0,0.35294117647058826,F,14,0.4117647058823529,F,7.0,0.20588235294117646,H,11.0,0.3235294117647059,H,17.0,0.5
35,H,12.0,0.34285714285714286,F,15,0.42857142857142855,H,7.0,0.2,H,11.0,0.3142857142857143,H,17.0,0.4857142857142857
36,H,12.0,0.3333333333333333,H,15,0.4166666666666667,H,7.0,0.19444444444444445,F,12.0,0.3333333333333333,F,18.0,0.5
37,H,12.0,0.32432432432432434,F,16,0.43243243243243246,H,7.0,0.1891891891891892,H,12.0,0.32432432432432434,F,19.0,0.5135135135135135
38,F,13.0,0.34210526315789475,H,16,0.42105263157894735,F,8.0,0.21052631578947367,H,12.0,0.3157894736842105,H,19.0,0.5
39,F,14.0,0.358974358974359,F,17,0.4358974358974359,F,9.0,0.23076923076923078,H,12.0,0.3076923076923077,H,19.0,0.48717948717948717
40,H,14.0,0.35,H,17,0.425,H,9.0,0.225,F,13.0,0.325,H,19.0,0.475
41,F,15.0,0.36585365853658536,H,17,0.4146341463414634,F,10.0,0.24390243902439024,F,14.0,0.34146341463414637,H,19.0,0.4634146341463415
42,F,16.0,0.38095238095238093,H,17,0.40476190476190477,F,11.0,0.2619047619047619,F,15.0,0.35714285714285715,F,20.0,0.47619047619047616
43,F,17.0,0.3953488372093023,F,18,0.4186046511627907,H,11.0,0.2558139534883721,H,15.0,0.3488372093023256,H,20.0,0.46511627906976744
44,F,18.0,0.4090909090909091,H,18,0.4090909090909091,H,11.0,0.25,F,16.0,0.36363636363636365,H,20.0,0.45454545454545453
45,F,19.0,0.4222222222222222,H,18,0.4,F,12.0,0.26666666666666666,H,16.0,0.35555555555555557,F,21.0,0.4666666666666667
46,H,19.0,0.41304347826086957,H,18,0.391304347826087,F,13.0,0.2826086956521739,F,17.0,0.3695652173913043,H,21.0,0.45652173913043476
47,F,20.0,0.425531914893617,H,18,0.3829787234042553,H,13.0,0.2765957446808511,F,18.0,0.3829787234042553,F,22.0,0.46808510638297873
48,H,20.0,0.4166666666666667,F,19,0.3958333333333333,H,13.0,0.2708333333333333,H,18.0,0.375,F,23.0,0.4791666666666667
49,F,21.0,0.42857142857142855,F,20,0.40816326530612246,H,13.0,0.2653061224489796,H,18.0,0.3673469387755102,H,23.0,0.46938775510204084
50,F,22.0,0.44,F,21,0.42,H,13.0,0.26,H,18.0,0.36,F,24.0,0.48
